sentence_id,words,labels
2083,Punu,B-LOC
2189,kamayuq,I-PER
4528,Edmundopa,B-PER
713,Francisco,B-PER
1284,distritu,I-LOC
963,-,O
4795,de,I-PER
1083,Laram,B-ORG
915,Piluta,B-ORG
774,Chilipi,B-ORG
289,Marco,B-PER
4014,pruwinsya,I-LOC
1188,.,O
4399,K'ayrani,B-LOC
5297,Tilsa,B-PER
1598,Chulumani,B-LOC
1841,Ferenc,I-PER
4325,Bajo,B-LOC
1055,Yuraq,B-LOC
5399,Chankaybaños,B-LOC
2437,.,O
1830,Uncaria,O
1054,',O
379,FC,I-ORG
276,lagothricha,O
5212,Hans,I-PER
4138,Talara,B-LOC
2610,distritu,I-LOC
1209,'Fulica,O
2021,Aberdeen,B-LOC
4204,Lampa,B-LOC
1374,Wolfgang,B-PER
94,',O
655,Hayt'ay,I-ORG
408,),O
4352,Pajarillo,B-LOC
3523,Munsun,B-LOC
2056,München,I-ORG
184,Pachantin,I-ORG
305,García,I-PER
1439,Chiqa,B-LOC
4315,Muyupampa,B-LOC
1493,',O
705,mama,I-ORG
1245,rimanku,O
1698,Pukallpa,B-LOC
583,mama,I-ORG
3176,Chávez,I-LOC
1313,Kupa,I-ORG
2896,distritu,I-LOC
199,occipitalis,O
1030,Altafini,I-PER
2842,Awankay,B-LOC
997,Chakamarka,B-ORG
691,.,O
421,',O
4103,pruwinsya,I-LOC
4751,de,I-PER
3206,distritu,I-LOC
1359,',O
1519,1888-1892,O
223,Uma,B-LOC
3245,Tabaconas,B-LOC
4975,Nunes,I-PER
4831,O'Toole,I-PER
898,Umalliqmi,O
2151,Piluta,B-ORG
3023,Mullintu,B-LOC
4453,Yarinaqucha,B-LOC
2556,distritu,I-LOC
65,Limamanta,I-PER
5308,Verónica,B-PER
2160,'Pterocnemia,O
3282,K'anas,B-LOC
2222,),O
1121,Bautista,B-PER
916,Yachay,I-ORG
1980,parki,I-ORG
2704,distritu,I-LOC
276,``,O
316,.,O
750,Kupa,I-ORG
4996,Le,I-PER
4416,Albarracín,I-LOC
3030,distritu,I-LOC
2410,.,O
4828,Georgia,B-PER
1803,iskay,I-PER
579,",",O
967,Francesco,B-PER
4778,Marie,I-PER
5122,Azurduy,I-PER
1854,Taki,B-ORG
585,llaqta,I-ORG
1666,mayu,I-LOC
2190,Qhichwa,B-ORG
3651,anta,I-LOC
3209,distritu,I-LOC
4926,Estanislao,I-PER
1753,Abe,I-PER
1926,Aquino,I-PER
327,Ronaldinho,B-PER
1498,Kupa,I-ORG
2321,',O
5428,qucha,I-LOC
4920,Cruz,I-PER
371,Pachantin,I-ORG
4519,Rosapa,B-PER
281,PUSAPUNA,O
276,'Lagothrix,O
4962,von,I-PER
761,Pawqartampu,B-LOC
1315,Cacuangowan,I-PER
3309,distritu,I-LOC
4899,Alfaro,I-PER
1425,393,O
4993,Héctor,B-PER
1248,',O
451,Puyewe,B-LOC
2164,killapi,I-LOC
770,Umalliqmi,O
1530,Pachantin,I-ORG
1046,Kupa,I-ORG
1725,.,O
844,-,O
1914,.,O
779,',O
40,Beethoven,I-PER
1848,.,O
4597,Jorge,B-PER
227,'Ateles,O
1824,Bush,I-PER
2762,Machaqway,B-LOC
4951,Laso,I-PER
548,distritu,I-LOC
3521,Hirkan,B-LOC
1538,Pachakutiq,B-PER
5387,Amarakaeri,B-LOC
5030,Loayza,I-PER
2099,',O
154,',O
1250,suyu,I-LOC
932,Piluta,B-ORG
5140,de,I-PER
63,Huwan,B-PER
634,'Erythrina,O
32,Hayt'ay,I-ORG
2217,**,O
849,Sunturnin,I-ORG
60,',O
819,Hayt'ay,I-ORG
2339,Chuqichaka,I-LOC
953,Qupaqhawanapi,I-ORG
5296,Emerson,I-PER
464,Kutupaksi,B-ORG
4544,Tassom,I-PER
504,pyramidalis,O
4347,distritu,I-LOC
1779,Pachantin,I-ORG
207,de,I-PER
1124,.,O
2189,Uma,B-PER
1534,karum,O
272,suyu,I-LOC
5399,risirwa,I-LOC
1990,.,O
1438,gryphus,O
2770,distritu,I-LOC
3988,Wampara,B-LOC
3629,Tarma,B-LOC
2756,Chana,I-LOC
4776,César,B-PER
130,llaqtanqa,I-LOC
974,),O
3044,pruwinsya,I-LOC
1006,Kumunista,I-ORG
961,pusapuna,O
151,Bioy,I-PER
2316,.,O
2208,distritu,I-LOC
3015,distritu,I-LOC
1510,'Oreailurus,O
214,Kupa,I-ORG
1978,Kunti,I-LOC
830,),O
4733,Nicolás,I-PER
2776,distritu,I-LOC
1765,Lawqa,B-ORG
2378,Upano,O
1758,(,O
2075,T'uru,B-ORG
608,amachasqa,I-ORG
482,Pachantin,I-ORG
783,),O
1778,iskay,I-PER
5383,waqaychasqa,I-LOC
2861,K'akllapampa,B-LOC
1601,Kupa,I-ORG
3361,distritu,I-LOC
1427,.,O
1427,',O
2382,.,O
2732,distritu,I-LOC
4388,Nuevo,B-LOC
684,.,O
5285,Manuel,I-PER
400,(,O
2092,munisipyu,I-LOC
2568,Miguel,I-LOC
1362,.,O
1171,(,I-LOC
5162,Murville,I-PER
2092,pruwinsya,I-LOC
1784,',O
2407,k'usillu,I-LOC
24,Kupa,I-ORG
431,Main,I-LOC
1044,Qhichwa,B-ORG
2655,Alegre,I-LOC
3286,pruwinsya,I-LOC
554,Pasqu,B-LOC
753,Qulcha,B-LOC
836,Laja,B-ORG
1858,Antonio,B-PER
214,1974,I-ORG
149,PUSAPUNA,O
712,),O
310,Linné,I-PER
1054,.,O
1038,Qusqu,B-LOC
4766,Carlos,B-PER
2399,simi,I-ORG
105,),O
1479,Kalipuy,B-LOC
306,Salvador,I-LOC
511,Santa,I-PER
3,mama,I-ORG
5255,Palominoqa,I-PER
339,",",O
979,distritu,I-LOC
568,distritu,I-LOC
4841,Claudia,B-PER
4735,Hussein,I-PER
604,Hayt'ay,I-ORG
5139,de,I-PER
4778,André,I-PER
408,",",O
5432,qucha,I-LOC
3678,Sapallanka,B-LOC
683,m,O
4688,Abebe,B-PER
2598,Carlos,I-LOC
2574,del,I-LOC
687,Kupa,I-ORG
2225,Kaa,B-ORG
5174,y,I-PER
2074,Nycticorax,O
1805,llaqta,I-ORG
1606,),O
5281,Félix,B-PER
75,Uma,B-PER
212,(,I-ORG
2659,kancha,I-LOC
3022,distritu,I-LOC
3429,La,B-LOC
5379,Tumpis,B-LOC
665,",",O
5217,Adela,B-PER
2189,.,O
3733,P'allqa,B-LOC
227,paniscus,O
2234,XII,I-PER
527,Kamasqa,O
1719,visco,O
285,Pachantin,I-ORG
2279,Qullqi,I-ORG
2588,distritu,I-LOC
393,',O
1766,1970,I-ORG
1133,Thomas,B-PER
2389,Mama,I-ORG
1038,",",O
684,',O
647,',O
1943,parki,I-ORG
2628,distritu,I-LOC
1937,Antikuna,B-LOC
2155,Ramón,I-LOC
5358,Kuntur,I-LOC
3340,Kunturuma,B-LOC
1113,Frédéric,B-PER
1740,),I-LOC
1594,.,O
2188,Walker,I-PER
496,PUSAPUNA,O
1520,PUSAPUNA,O
593,1998,I-ORG
3221,Cutervo,I-LOC
3256,Kallkis,B-LOC
1080,Celso,I-ORG
580,pecari,O
247,',O
2580,Rodríguez,B-LOC
4627,Thomas,I-PER
1979,),O
532,Yachay,I-ORG
2071,',O
367,),O
437,José,I-PER
2000,Tanta,B-LOC
3650,Toledo,I-LOC
265,X,I-PER
1797,Piluta,B-ORG
1715,',O
3699,Masma,B-LOC
70,llaqtapi,O
1358,Piluta,B-ORG
5403,risirwa,I-LOC
3331,distritu,I-LOC
1012,',O
1395,Serguey,B-PER
1238,7,O
291,',O
1473,(,O
487,Llaqtap,I-ORG
1982,PUSAPUNA,O
3363,distritu,I-LOC
1690,Pachantin,I-ORG
801,walla,I-ORG
4223,San,B-LOC
1099,.,O
685,(,O
4857,Dante,B-PER
3759,Utusku,B-LOC
1014,.,O
3592,Tinguiña,I-LOC
408,Piruw,B-LOC
2666,mayu,I-LOC
5166,Angelou,I-PER
1145,.,O
611,',O
5378,risirwa,I-LOC
699,',O
2934,Alto,B-LOC
557,James,B-PER
1184,Ukayali,B-LOC
4132,Ayawaka,B-LOC
4166,Amutapi,B-LOC
726,Chaqlla,B-LOC
1183,',O
3732,Yanamayu,B-LOC
279,K'illichu,B-LOC
3865,Lampalliqi,B-LOC
2660,Ichigkat,B-LOC
2414,distritu,I-LOC
5122,Padilla,I-PER
1715,.,O
836,llaqta,I-ORG
3746,Saqu,I-LOC
366,.,O
2276,',O
1709,Pachantin,I-ORG
536,González,I-PER
3492,Iskaynin,I-LOC
2589,distritu,I-LOC
5123,Manuel,B-PER
1908,),I-LOC
1414,12,O
1086,distritu,I-LOC
4666,María,B-PER
2226,Zedong,I-PER
547,6.025,O
364,Piluta,B-ORG
4234,Ullachiya,B-LOC
5013,Isaac,B-PER
1619,PUSAPUNA,O
1546,77°49′0″0,O
1071,Ramón,B-PER
163,satillitimanta,O
1414,),O
2145,Saquisilí,O
3814,Curgos,B-LOC
5321,Dolores,B-PER
257,.,O
5286,Manuela,B-PER
5375,mama,I-LOC
5359,Wayllay,B-LOC
1449,Hayt'ay,I-ORG
2307,suyu,I-LOC
1946,Secure,I-ORG
1353,XVI,I-PER
37,Allan,B-PER
1064,-,O
3335,distritu,I-LOC
1473,Qhapaq,I-LOC
1929,(,O
5290,Espinoza,I-PER
1185,Hayt'ay,I-ORG
111,',O
2048,***,O
5193,Solano,I-PER
55,Pizarro,I-PER
2571,distritu,I-LOC
169,Confederación,O
859,'Tayassu,O
124,.,O
664,willkachasqa,I-LOC
733,Cerro,I-LOC
4839,Clara,B-PER
2312,),I-PER
5000,Ruiz,I-PER
4647,Ana,B-PER
1899,.,O
3497,pruwinsya,I-LOC
537,1998,I-ORG
2297,q'arachupa,I-LOC
2877,Sabaynu,B-LOC
516,',O
1372,',O
1139,Abad,I-ORG
3269,distritu,I-LOC
1468,5.929,O
5380,Llakipampa,B-LOC
1283,',O
5186,Alexander,I-PER
4911,Omar,I-PER
271,colaboración,O
2920,Prugrisu,B-LOC
1973,Fabio,B-PER
2326,',O
2198,),O
233,Partidu,I-ORG
89,Pachantin,I-ORG
3135,distritu,I-LOC
810,sutichasqa,O
1632,',O
2186,mama,I-ORG
294,",",O
3747,Suytukancha,B-LOC
271,Escrito,O
2044,Pachantin,I-ORG
3208,Cupisnique,B-LOC
2194,',O
1813,Yupanki,I-PER
5223,Nascimento,I-PER
1955,Santa,B-PER
5419,qucha,I-LOC
1986,Rivaldo,B-PER
2765,distritu,I-LOC
3035,Waynakuta,B-LOC
2341,sirinka,I-ORG
2840,pruwinsya,I-LOC
5061,Luis,I-PER
4011,Mariscal,B-LOC
292,),I-ORG
1472,.,O
3524,Paryarqa,B-LOC
705,parki,I-ORG
4018,César,I-LOC
2871,Arguedas,I-LOC
2367,risirwa,I-ORG
632,'Estrecho,O
1585,parki,I-ORG
1283,Flórián,B-PER
5142,María,B-PER
2053,Amachanapaq,I-ORG
2109,Waskaran,B-LOC
1189,.,O
2177,Piluta,B-ORG
478,hanaq,O
333,Hayt'ay,I-ORG
654,',O
2614,de,I-LOC
4815,José,I-PER
3950,Santiago,B-LOC
388,",",O
530,Alcides,B-PER
1506,Hatun,B-LOC
1678,Rusa,I-LOC
2181,parki,I-ORG
364,Pachantin,I-ORG
88,Roberto,B-PER
3653,Mansanaris,B-LOC
2454,Andawaylasmantam,B-LOC
1864,manam,O
140,Georgi,B-PER
2749,Masin,B-LOC
4261,Wila,I-LOC
311,(,O
1470,Yachachiqkunaq,I-ORG
2134,kaq,O
1942,),O
2312,PUSAPUNA,O
4115,Bermúdez,I-LOC
29,'Vultur,O
43,Wallan,I-LOC
2142,),O
1052,4,O
4679,Daniel,B-PER
5096,Bancroft,I-PER
2734,Pampas,B-LOC
2297,),O
1280,PUSAPUNA,O
4473,Margacham,B-PER
1255,Ransisku,B-PER
1115,hap'imuspa,O
4251,Wat'asani,B-LOC
2604,distritu,I-LOC
1122,PUSAPUNA,O
3779,Marmut,B-LOC
2350,pusapuna,O
2390,6.025,O
1008,',O
1776,Sumaku,B-ORG
5018,Enrique,I-PER
1320,.,O
4652,Bruce,B-PER
4374,Yorongos,B-LOC
4319,San,B-LOC
383,',O
2386,Campos,I-LOC
5202,Guayasamín,I-PER
3991,Wantan,B-LOC
983,),O
1563,",",O
1178,Tukuy,B-ORG
4262,Uta,I-LOC
1399,Kutawasi,B-ORG
101,Kupa,I-ORG
1536,Puntifisya,I-ORG
3411,-,O
4739,de,I-PER
5290,Antonia,I-PER
3194,Chuta,B-LOC
3220,de,I-LOC
933,Aliaga,I-PER
802,.,O
1184,suyu,I-LOC
3000,distritu,I-LOC
3323,distritu,I-LOC
3028,Puyka,B-LOC
578,iskay,I-PER
5139,María,B-PER
1575,Kupa,I-ORG
533,.,O
3262,distritu,I-LOC
710,Amaru,I-PER
9,Miguel,I-LOC
100,7,O
51,Pukawasi,O
446,',O
4777,Sandino,I-PER
1652,'Phalcoboenus,O
3262,Niepos,B-LOC
1484,(,I-LOC
4889,Vallejo,I-PER
541,',O
2409,Waqllisqan,I-ORG
3354,Megantoni,B-LOC
2086,',O
1450,jussieui,O
1650,Pachantin,I-ORG
628,.,O
1638,pruwinsya,I-LOC
2268,m,O
1272,',O
39,(,O
1919,',O
209,(,I-LOC
1836,Balta,I-PER
1656,Yang,B-PER
1451,',O
1853,sallqa,I-ORG
2772,Waylas,B-LOC
2404,Sapahaqui,O
1263,',O
1663,",",O
2009,María,I-PER
2016,.,O
2534,Ancón,B-LOC
1907,Secure,I-ORG
1383,',O
557,',O
3406,Quchaqasa,B-LOC
4925,Calderón,I-PER
2797,Pallasqa,B-LOC
1308,suyu,I-LOC
694,Piluta,B-ORG
1671,Vicente,B-ORG
2371,.,O
3141,Sarwa,B-LOC
3278,Yawyukan,B-LOC
1039,Sebastian,I-PER
1617,Hayt'ay,I-ORG
175,7,O
4907,Pacquiao,I-PER
119,Susyalismuman,B-ORG
716,-,O
5135,Monteiro,I-PER
938,Atawallpa,B-PER
956,",",O
375,Lavalle,I-PER
1642,nisqatam,O
4291,Pedro,B-LOC
719,.,O
4731,Polo,I-PER
551,.,O
1192,pruwinsya,I-LOC
401,Liszt,B-PER
879,',O
4650,Conejo,I-PER
1181,.,O
4554,Antuku,B-PER
1897,parki,I-LOC
1134,Pawllu,B-PER
1374,van,I-PER
973,Hilderaldo,B-PER
3057,distritu,I-LOC
5075,Vásquez,I-PER
3359,distritu,I-LOC
4719,Obregón,I-PER
5067,José,B-PER
799,gryphus,O
3172,distritu,I-LOC
851,Evaristo,B-PER
517,FC,I-ORG
632,Titiqaqa,B-LOC
3823,Mullipata,B-LOC
2562,Rimaq,B-LOC
544,(,I-ORG
1498,Hayt'ay,I-ORG
1639,Pachantin,I-ORG
5193,Albino,I-PER
378,",",O
2514,Apurimaq,B-LOC
3542,Hisus,B-LOC
5163,Baylón,I-PER
352,qillqakunapas,O
5161,Ramón,I-PER
3,parki,I-ORG
317,*1916,O
876,',O
4591,Ernesto,I-PER
324,",",O
1762,Pachakutiq,B-PER
1599,1770-1827,O
442,2002,I-ORG
803,mama,I-ORG
4224,Santiago,B-LOC
1145,.,O
5066,Barreda,I-PER
3312,Chiqa,B-LOC
2277,allpa,I-ORG
406,Piluta,B-ORG
539,Puna,B-ORG
1526,pruwinsya,I-LOC
3054,Jesus,B-LOC
2792,distritu,I-LOC
2314,kamayuq,I-PER
676,.,O
584,Record,O
4799,Fredericawan,I-PER
4163,de,I-LOC
429,",",O
319,'Juglans,O
982,-,O
2415,(,O
1188,',O
1334,Pachantin,I-ORG
354,risirwa,I-LOC
3324,Sikuwani,B-LOC
1048,sp,O
4745,Silva,I-PER
1314,Pezet,I-PER
833,.,O
2939,Melgar,I-LOC
1214,qhapaq,I-ORG
336,Mullipampa,B-LOC
2040,Wolfgang,I-PER
3285,pruwinsya,I-LOC
131,willkachasqa,I-ORG
193,Piluta,B-ORG
3096,distritu,I-LOC
2071,',O
2154,11,O
62,la,I-ORG
2913,distritu,I-LOC
3065,Dorregaray,I-LOC
1542,fajas,O
2323,Chuka,I-LOC
4133,Murrupun,B-LOC
4904,Salgari,I-PER
405,.,O
4760,Santana,I-PER
1483,mama,I-ORG
2724,Yunka,B-LOC
2481,Jauja,B-LOC
4032,Ramón,B-LOC
2872,Antapampa,B-LOC
34,Jackson,I-PER
3875,pruwinsya,I-LOC
5207,Francisco,B-PER
1648,Figo,I-PER
907,),O
3623,Chanchamayu,B-LOC
652,Justo,B-PER
1882,',O
4848,Oñate,I-PER
4668,Duarte,I-PER
1713,kamayuqnin,I-PER
4424,Willar,I-LOC
3634,Pirini,B-LOC
1135,(,I-LOC
1903,Buffon,I-PER
2074,',O
2798,Tawqa,B-LOC
491,suyup,I-ORG
3721,Qarwamayu,B-LOC
2383,Sapsi,I-ORG
2926,Castilla,B-LOC
3554,Rupa,B-LOC
2021,),O
1534,.,O
3065,Avelino,I-LOC
1525,Almagro,I-ORG
815,Hatun,I-ORG
4425,Sarumilla,B-LOC
660,Isiboro,B-ORG
399,(,O
711,Meazza,I-PER
1157,wat'akuna,I-LOC
785,PUSAPUNA,O
5255,Cerrón,I-PER
58,Hayt'ay,I-ORG
2545,La,B-LOC
1980,San,B-ORG
2085,Alzamendi,I-PER
128,mama,I-ORG
1433,runakunap,I-ORG
1782,llaqta,I-ORG
2184,/,O
1430,Piluta,B-ORG
374,dos,I-PER
850,",",O
2356,(,O
1996,',O
375,Manuel,B-PER
5078,Lindolfo,I-PER
3400,Anchunqa,B-LOC
2100,Mendoza,I-PER
3737,Tarma,B-LOC
3565,Honoria,B-LOC
2342,Pastilkuna,B-ORG
1858,",",O
1343,.,O
2146,(,O
2060,",",I-PER
1815,mana,I-ORG
1438,',O
112,parki,I-ORG
700,Ayakuchu,B-LOC
1979,',O
1486,la,I-PER
1118,1970,I-ORG
2320,',O
1075,Borja,I-LOC
3504,Tumay,B-LOC
772,San,I-ORG
4478,Josemi,B-PER
3048,Parado,I-LOC
5353,mamallaqta,I-LOC
3120,Pararka,B-LOC
2187,REDIRECCIÓN,O
2204,',O
3414,Chupamarka,B-LOC
5002,IV,I-PER
1644,Kupa,I-ORG
5350,wari,I-LOC
1062,**,O
737,",",O
1099,',O
3071,Iwayin,B-LOC
1786,Antamarka,B-LOC
1640,FC,I-ORG
5211,Paul,B-PER
549,pruwinsya,I-LOC
28,Antikuna,B-LOC
1277,DVD,O
2328,',O
339,Friedrich,I-PER
2829,Raqash,B-LOC
797,Tirisa,I-PER
5319,De,I-PER
503,munisipyu,I-LOC
477,Walla,I-LOC
4656,Paparizou,I-PER
224,Francisco,B-PER
4111,Yanawanka,B-LOC
488,Wolfgang,B-PER
1140,Hayt'ay,I-ORG
4688,Bikila,I-PER
95,qhapaq,I-ORG
2886,distritu,I-LOC
1307,2014,I-ORG
5397,chaku,I-LOC
1663,Qusqu,B-LOC
2023,),O
2093,",",O
4018,distritu,I-LOC
262,San,I-PER
1940,Kitu,B-LOC
1843,Alfaro,I-PER
4366,Tres,B-LOC
2381,pruwinsya,I-LOC
989,',O
2363,Hayt'ay,I-ORG
280,),O
4694,González,I-PER
1388,.,O
2047,sutichasqa,O
2421,',O
3232,Wabal,B-LOC
744,Kupa,I-ORG
1573,de,I-PER
2919,distritu,I-LOC
1024,quchaman,I-LOC
3808,Urpay,B-LOC
686,San,B-LOC
78,2006,I-ORG
67,(,I-LOC
2577,Bagua,B-LOC
2074,***,O
2865,distritu,I-LOC
1533,Sika,B-LOC
78,Kupa,I-ORG
4009,pruwinsya,I-LOC
5229,Valer,I-PER
950,',O
2264,María,B-PER
3128,distritu,I-LOC
102,John,B-PER
1175,San,B-LOC
904,Joanne,B-PER
1022,",",O
710,ñiqin,I-PER
923,),O
4459,del,I-LOC
719,*Rawrawa,O
2422,Mendoza,I-PER
1539,pusapuna,O
1267,',O
2957,Vitor,B-LOC
759,Johan,B-PER
1389,Kupa,I-ORG
2331,khuchi,I-LOC
173,.,O
2254,Pachantin,I-ORG
2470,Turpumanta,B-LOC
4180,Bellavista,B-LOC
2567,Martín,I-LOC
2204,.,O
1296,-,O
715,Pachantin,I-ORG
4361,Pukaqaqa,B-LOC
2077,',O
1544,.,O
2403,Bahuaja-Sonene,B-ORG
5120,Sánchez,I-PER
564,Qusqu,B-LOC
1578,Hayt'ay,I-ORG
5122,de,I-PER
4842,Palma,I-PER
2096,PUSAPUNA,O
178,Manuel,B-PER
4150,la,I-LOC
1215,-,O
154,),O
3455,Chuqurwus,B-LOC
4827,Leroy,I-PER
667,Amarumayu,I-ORG
3301,distritu,I-LOC
3853,Puerto,B-LOC
4585,Mama,I-ORG
4679,Pérez,I-PER
5234,Espinoza,I-PER
2265,1994,I-ORG
4192,Sullana,B-LOC
2739,La,B-LOC
5342,Abiseo,B-LOC
2146,ch'uqu,O
4549,Álvaro,B-PER
2400,sutichaypa,O
5070,Álvarez,I-PER
2917,Bastidas,I-LOC
5135,Carvalho,I-PER
2305,[[Wampurushu,O
2237,(,O
2414,Kashapampa,B-LOC
1513,Akira,B-PER
1290,1888-1919,O
5170,Micaela,B-PER
575,Piluta,B-ORG
1678,Apurimaq,I-LOC
1089,Johan,B-PER
674,Kashapampa,B-LOC
2711,Qaqaqay,B-LOC
139,",",O
2181,mama,I-ORG
1443,',O
2435,Sustancia,O
4977,Bellini,I-PER
2158,Pachantin,I-ORG
2769,Qispillaqta,B-LOC
4149,Kanchaqi,B-LOC
1302,.,O
4788,Quispe,I-PER
50,Huwan,B-PER
1950,(,O
733,Sánchez,I-LOC
3140,Qayara,B-LOC
4585,Wamanqapi,B-ORG
2198,panakan,O
43,Buliwyap,B-LOC
1813,Pachakutiq,B-PER
242,.,O
1934,Ismael,B-ORG
1555,Manuripi-Heath,B-ORG
3100,distritu,I-LOC
237,Drogba,I-PER
1049,Emilio,B-PER
433,de,I-PER
1257,.,O
1238,.,O
1166,Mejor,O
1974,Abad,I-ORG
127,.,O
4173,Castilla,B-LOC
1679,ch'unqa,I-LOC
2976,Kikacha,B-LOC
1290,Valdelomar,I-PER
4078,Tampupata,B-LOC
2962,Mariano,B-LOC
169,CCP,O
2184,suyu,I-LOC
2059,Kupa,I-ORG
26,',O
1028,Humala,I-PER
2431,(,O
1138,Salinas,B-LOC
701,',O
4590,Dr.,B-PER
1646,'Cedrela,O
406,Pachantin,I-ORG
2180,PUSAPUNA,O
2327,Tschudi,I-PER
1710,Wasin,I-ORG
5252,Roberto,B-PER
517,del,O
819,Pachantin,I-ORG
2537,Breña,B-LOC
2104,risirwa,I-ORG
4607,Peláezqa,I-PER
4705,Castro,I-PER
2345,Pablo,I-LOC
2159,Fàbregas,I-PER
407,de,I-PER
2550,Chosica,I-LOC
1039,Brandenburgisches,O
552,Pampa,I-LOC
3749,Way,B-LOC
2408,Piluta,B-ORG
2909,distritu,I-LOC
4326,Wallaqa,B-LOC
122,de,I-LOC
854,Tukuy,B-ORG
2303,Hayt'ay,I-ORG
4416,distritu,I-LOC
181,',O
2092,Malla,B-LOC
2210,llaqtam,O
5402,suyu,I-LOC
3604,distritu,I-LOC
1195,Mamallaqtap,I-ORG
18,Napu,B-LOC
617,kancha,I-ORG
247,.,O
2038,Yupanki,I-PER
2434,Woody,B-PER
1159,Aux,O
4753,Bernardo,B-PER
1512,1962,I-ORG
42,Yachay,I-ORG
481,Kupa,I-ORG
115,pruwinsya,I-LOC
913,Chinchay,I-LOC
159,pruwinsya,I-LOC
713,de,I-PER
4899,Eloy,B-PER
5052,Domingo,I-PER
5414,Hijin,B-LOC
326,urqu,I-ORG
2428,),O
24,1982,I-ORG
4107,Pedro,I-LOC
4905,Trinidad,I-PER
4917,Erwin,B-PER
2333,punchakama,O
476,",",O
1927,',O
413,Tola,I-LOC
2215,estudiadas,O
5074,Espinoza,I-PER
869,Castilla,I-PER
5110,Luis,B-PER
5189,Nicolás,B-PER
2636,San,B-LOC
5391,ñiqpi,I-LOC
5139,Vásquez,I-PER
5395,sach'a,I-LOC
3078,Chaka,B-LOC
1463,'Saccharum,O
503,",",O
5119,Magdalena,B-PER
2018,Cristiano,B-PER
1222,',O
2984,Ayu,B-LOC
1293,Naoto,B-PER
5079,Pablo,I-PER
2000,suyu,I-LOC
4983,Guadalupe,B-PER
3974,Nawan,B-LOC
1529,basilikan,I-ORG
1736,',O
661,Piluta,B-ORG
2147,),O
1624,wasip,O
532,yachaqarqan,O
4841,Llosa,I-PER
4779,Charles,B-PER
445,suyu,I-LOC
3159,San,B-LOC
214,Hayt'ay,I-ORG
4593,Fernando,B-PER
4682,Macedonio,B-PER
1447,sutiyuqmantam,O
536,Manuel,B-PER
650,Ronaldinho,B-PER
1039,Sechstes,O
2001,mama,I-ORG
48,),O
3495,pruwinsya,I-LOC
5075,Esteban,I-PER
1434,risirwa,I-LOC
1153,Pizarro,I-PER
3902,Ch'illka,B-LOC
197,Ladislao,I-LOC
575,Hayt'ay,I-ORG
1184,Inka,B-LOC
5396,Hanan,B-LOC
3667,Ingenio,B-LOC
205,mama,I-ORG
367,**,O
616,.,O
166,',O
2132,',I-LOC
4186,Bellavista,B-LOC
1284,pusapuna,O
5037,John,B-PER
4195,distritu,I-LOC
2306,Gerd,B-PER
2523,distritu,I-LOC
2803,distritu,I-LOC
2324,Lizardo,B-PER
1825,Carvalho,I-PER
1506,',O
4129,Wayllay,B-LOC
345,.,O
5224,Santana,I-PER
325,suyu,I-ORG
2139,Susyalismuman,B-ORG
3538,Santa,B-LOC
370,Awaylla,B-LOC
3681,Walwas,B-LOC
3177,Luqmapampa,B-LOC
4136,pruwinsya,I-LOC
731,',O
3230,distritu,I-LOC
3055,Pakayqasa,B-LOC
787,iskay,I-PER
2846,Kutapampa,B-LOC
2047,Carlos,B-PER
3259,Florida,I-LOC
4333,Pisquyaku,B-LOC
4406,la,I-LOC
4786,Pedro,B-PER
302,suyu,I-LOC
70,qucha,I-LOC
3703,Munupampa,B-LOC
5094,Roger,B-PER
781,Yachay,I-ORG
1735,',O
2258,pruwinsya,I-LOC
5021,Jaime,B-PER
2112,Suntur,B-ORG
5001,Gatti,I-PER
3333,Puruy,B-LOC
5218,Alvares,I-PER
2025,llapan,O
307,Minh,I-LOC
2877,distritu,I-LOC
4051,Kapilu,B-LOC
2442,(,O
2109,mamallaqta,I-LOC
3380,distritu,I-LOC
1998,',O
4018,Teniente,B-LOC
1777,parki,I-ORG
625,Pachantin,I-ORG
2369,1843-1888,O
1361,Ignacio,B-PER
1086,Chakas,B-LOC
2938,Joya,I-LOC
595,Amirika,B-ORG
1689,Trombone,O
5257,Valdez,I-PER
1531,Villarroel,I-LOC
3851,Piksi,B-LOC
1307,Piluta,B-ORG
2540,distritu,I-LOC
1451,Paray,B-ORG
5270,Samuel,B-PER
287,Pachantin,I-ORG
1634,.,O
3829,La,B-LOC
143,'Nycticorax,O
5263,Pilar,I-PER
3121,Pawsa,B-LOC
2073,Pachantin,I-ORG
5316,Vincent,B-PER
1207,.,O
1568,Fe,I-LOC
24,Piluta,B-ORG
1472,Charlton,I-PER
959,mamallaqta,I-ORG
4926,Rolino,I-PER
2145,',O
584,.,O
281,Berkeley,I-ORG
946,(,O
1806,.,O
541,khuchi,I-LOC
1744,suyu,I-LOC
3943,distritu,I-LOC
3583,Chawin,B-LOC
351,',O
708,mama,I-ORG
1079,la,I-PER
5165,Máximo,B-PER
1322,Cáceres,I-PER
1177,.,O
2852,Pichirwa,B-LOC
2406,iskay,I-PER
2574,Villa,B-LOC
2316,Keegan,I-PER
1507,Lima,B-LOC
1771,Pan,O
544,Buliwya,I-ORG
1693,PUSAPUNA,O
2346,de,I-PER
103,llaqtam,O
322,Hayt'ay,I-ORG
2126,Kupa,I-ORG
2776,Fidel,B-LOC
5289,Sebastián,I-PER
